Date,Account,Inbound Message,Created Time,snTypeColumn,Associated Cases,Replied Post,Status,Account.1,Account Type,Author Name,Campaign Name,ScheduledTime,PublishedTime,Sentiment,Inbound Message Tags,Volume of Fan Messages Replied (SUM),Agent,Response Time (SUM),Inbound Message Cleaned,Replied Post Cleaned
2023-10-16,Lever Ayush Sri Lanka,Mek online gnn puluwn da,2023-10-15 21:29:15,Facebook,7886790,"Hi Hashini, ඔබට අවශ්‍ය ඔබගේ ප්‍රියතම Ayush නිෂ්පාදන නිවසටම ගෙන්වා ගැනීම සඳහා අපගේ Ustore.lk (http://bit.ly/2IcSu0V) වෙබ් අඩවිය වෙත අදම පිවිසෙන්න.",SENT,Lever Ayush Sri Lanka,FBPAGE,Chamini Madhushika,Customer Care (Unilever),2023-10-16 08:21:40,2023-10-16 08:21:41,Neutral, ,1.0,Chamini Madhushika,0 days 10:52:26.394000,Mek online gnn puluwn da,Hi Hashini ඔබට අවශ්ය ඔබගේ ප්රියතම Ayush නිෂ්පාදන නිවසටම ගෙන්වා ගැනීම සඳහා අපගේ Ustorelk httpbitly2IcSu0V වෙබ් අඩවිය වෙත අදම පිවිසෙන්න
2023-10-16,Lever Ayush Sri Lanka,Lever Ayush Sri Lanka prices  please,2023-10-11 07:50:27,Facebook,7933170,"Hi Kumari, ඔබට Ayush Turmeric Face Cream 50g රුපියල් 1215/- ට මිලදී ගැනීමට හැකිය.
",SENT,Lever Ayush Sri Lanka,FBPAGE,Chamini Madhushika,Customer Care (Unilever),2023-10-16 16:37:17,2023-10-16 16:37:17,Neutral, ,1.0,Chamini Madhushika,5 days 08:46:53.851000,Lever Ayush Sri Lanka prices please,Hi Kumari ඔබට Ayush Turmeric Face Cream 50g රුපියල් 1215 ට මිලදී ගැනීමට හැකිය
2023-10-16,Pond's Sri Lanka Facebook,Awwe giyata kamaknedda gala,2023-10-11 06:56:51,Facebook,7932918,"Hi Seya, ඔව්, එහි කිසිදු ගැටලුවක් නැහැ.",SENT,Pond's Sri Lanka Facebook,FBPAGE,Chamini Madhushika,Customer Care (Unilever),2023-10-16 16:10:44,2023-10-16 16:10:44,Neutral, ,1.0,Chamini Madhushika,5 days 09:13:56.558000,Awwe giyata kamaknedda gala,Hi Seya ඔව් එහි කිසිදු ගැටලුවක් නැහැ
2023-10-16,Pond's Sri Lanka Facebook,Eth wenasak nane. Kurala nam tikak adui wage. Hoda colur 1k ganna mokakda pawichchi karanna oni,2023-10-10 21:41:13,Facebook,7929807,"Hi Priyantha, Pond's Sri Lanka සමඟ සම්බන්ධ වුවාට ස්තූතියි! 
ඔබට Pond's Bright Beauty Face Wash එක සහ Pond's Bright Beauty Serum Cream එක නිර්දේශ කරන්න පුළුවන්.

",SENT,Pond's Sri Lanka Facebook,FBPAGE,Chamini Madhushika,Customer Care (Unilever),2023-10-16 14:28:24,2023-10-16 14:28:25,Neutral, ,1.0,Chamini Madhushika,5 days 16:47:12.908000,Eth wenasak nane Kurala nam tikak adui wage Hoda colur 1k ganna mokakda pawichchi karanna oni,Hi Priyantha Ponds Sri Lanka සමඟ සම්බන්ධ වුවාට ස්තූතියි ඔබට Ponds Bright Beauty Face Wash එක සහ Ponds Bright Beauty Serum Cream එක නිර්දේශ කරන්න පුළුවන්
2023-10-16,Pond's Sri Lanka Facebook,Eth wenasak nane. Kurala nam tikak adui wage. Hoda colur 1k ganna mokakda pawichchi karanna oni,2023-10-10 21:41:13,Facebook,7929807,"ඔබට ඕනෑම සුපිරි වෙළඳ සැලකින් හෝ අපගේ Ustore.lk (https://www.ustore.lk/) වෙබ් අඩවිය වෙත පිවිස Ponds Super Light Gel 50ml රුපියල් 750/- ට මිලදී ගත හැකිය.
",SENT,Pond's Sri Lanka Facebook,FBPAGE,Chamini Madhushika,Customer Care (Unilever),2023-10-16 16:26:08,2023-10-16 16:26:08,Neutral, ,1.0,Chamini Madhushika,5 days 18:44:55.968000,Eth wenasak nane Kurala nam tikak adui wage Hoda colur 1k ganna mokakda pawichchi karanna oni,ඔබට ඕනෑම සුපිරි වෙළඳ සැලකින් හෝ අපගේ Ustorelk httpswwwustorelk වෙබ් අඩවිය වෙත පිවිස Ponds Super Light Gel 50ml රුපියල් 750 ට මිලදී ගත හැකිය
2023-10-16,Vaseline Sri Lanka Facebook,මෙ කිුමි එක වියලි හමට හොදයි ද,2023-10-11 02:00:37,Facebook,7931476,"Hi Asanthi, ඔව්, මෙය නිර්දේශ කළ හැක .",SENT,Vaseline Sri Lanka Facebook,FBPAGE,Chamini Madhushika,Customer Care (Unilever),2023-10-16 16:11:59,2023-10-16 16:12:01,Neutral, ,1.0,Chamini Madhushika,5 days 14:11:24.746000,මෙ කිුමි එක වියලි හමට හොදයි ද,Hi Asanthi ඔව් මෙය නිර්දේශ කළ හැක
2023-10-16,Marmite Sri Lanka Instagram,Facebook Instagram Follow Done ✔️✔️✔️✔️,2023-10-11 08:11:43,Instagram,7933225,"Thank you for taking the time to contact the Consumer Engagement Centre

In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link.   

Click Here: %%[message__c_617bad9b5b7cd6357aed6a44:CRM NPS Survey URL]
Kind regards, 

Unilever Consumer Engagement Team",SENT,Marmite Sri Lanka Instagram,INSTAGRAM,Moderation User,Customer Care (Unilever),2023-10-16 16:40:36,2023-10-16 16:40:36,Neutral, ,1.0,Moderation User,5 days 08:28:52.194000,Facebook Instagram Follow Done ✔✔✔✔,Thank you for taking the time to contact the Consumer Engagement Centre In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link Click Here Kind regards Unilever Consumer Engagement Team
2023-10-16,Pond's Sri Lanka Instagram,Is Ponds super light gel suitable for oily and acne prone skin?,2023-10-11 07:21:51,Instagram,7933056,"Hi ᵒᵐᵃᵃ 🤍, Thank you for contacting Pond's Sri Lanka!
Yes, Pond's Super Light Gel is suitable for oily skin. It's lightweight and non-oily formula keeps oiliness and stickiness at bay, keeping your skin feeling fresh and glowing from AM to PM.",SENT,Pond's Sri Lanka Instagram,INSTAGRAM,Chamini Madhushika,default (Unilever),2023-10-16 16:19:19,2023-10-16 16:19:21,Neutral, ,1.0,Chamini Madhushika,5 days 08:57:29.518000,Is Ponds super light gel suitable for oily and acne prone skin,Hi ᵒᵐᵃᵃ 🤍 Thank you for contacting Ponds Sri Lanka Yes Ponds Super Light Gel is suitable for oily skin Its lightweight and nonoily formula keeps oiliness and stickiness at bay keeping your skin feeling fresh and glowing from AM to PM
2023-10-17,Unilever Corporate Sri Lanka Facebook,am interest work with u,2023-10-12 11:00:09,Facebook,7942577,"Hi Vincen, Thank you for contacting Unilever Sri Lanka!  
We appreciate your interest in employment with us! You can follow us on our Unilever Careers Facebook page (https://www.facebook.com/UnileverCareersSriLanka/) and get updates on our available vacancies and job opportunities.",SENT,Unilever Corporate Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-17 22:52:41,2023-10-17 22:52:42,Positive, ,1.0,Randika Soyza,5 days 11:52:33.503000,am interest work with u,Hi Vincen Thank you for contacting Unilever Sri Lanka We appreciate your interest in employment with us You can follow us on our Unilever Careers Facebook page httpswwwfacebookcomUnileverCareersSriLanka and get updates on our available vacancies and job opportunities
2023-10-17,Unilever Corporate Sri Lanka Facebook,Why lifebuoy body wash 100ml bottle not available  in any supermarket,2023-10-11 18:42:00,Facebook,7937304,"Hi Inok, Thank you for contacting Unilever Sri Lanka! 
Please kindly note that due to high demand, it may be out of stock. However, we will pass this concern to the relevant department for their consideration.",SENT,Unilever Corporate Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-17 18:36:39,2023-10-17 18:36:40,Negative, ,1.0,Randika Soyza,5 days 23:54:40.208000,Why lifebuoy body wash 100ml bottle not available in any supermarket,Hi Inok Thank you for contacting Unilever Sri Lanka Please kindly note that due to high demand it may be out of stock However we will pass this concern to the relevant department for their consideration
